label,expected_ramp,ok,correct,is_ramp,beatmap_set_id,beatmap_id,artist,title,creator,version,audit_status,ramp_family,segment_count,detected_family,score,reasons_json,best_run_length,best_run_bpm_span,best_run_duration_s,best_run_linear_r2,best_run_p90_gap_s,best_run_jumpiness,parse_seconds,detect_seconds,total_seconds,resolved_beatmap_path,error
true_ramp_pass,True,True,True,True,243027,563159,Various,Yolomania Vol. 3A,Fullerene-,Detach M-Style - 300 [Wiosna] 17,pass,linear_ramp,18,linear_ramp,308.9403784811152,"[""long_continuous_monotonic_ramp""]",16,150.0,110.337,0.9437203680094025,11.7176,0.0,0.002852624995284714,0.0006359580002026632,0.0034953330032294616,dataset/0/243027/Various - Yolomania Vol. 3A (Fullerene-) [Detach M-Style - 300 [Wiosna] 17].osu,
true_ramp_pass,True,True,True,True,286262,646319,Camellia,Lunatic Rough Party!! (Long Ver.),Ichigaki,Lunatic,pass,linear_ramp,56,linear_ramp,701.001993641905,"[""long_continuous_monotonic_ramp""]",16,270.0000000000001,15.323,0.9698631593113621,1.6283999999999998,0.0,0.0008833750034682453,0.0025811249943217263,0.0034719169925665483,dataset/0/286262/Camellia - Lunatic Rough Party!! (Long Ver.) (Ichigaki) [Lunatic].osu,
true_ramp_pass,True,True,True,True,303999,763657,Hermit,Dysnomia,-Kamikaze-,Tidek's 4K Monochrome,pass,stepped_ramp,88,stepped_ramp,272.30802432308957,"[""long_continuous_monotonic_ramp""]",25,154.9999999999998,31.913,0.8126881102102461,3.013,0.0,0.0006052499957149848,0.0023345840018009767,0.0029447080014506355,dataset/0/303999/Hermit - Dysnomia (-Kamikaze-) [Tidek's 4K Monochrome].osu,
true_ramp_pass,True,True,True,True,426638,921164,LeaF,I,Tidek,Limbo,pass,linear_ramp,72,linear_ramp,153.4205872348265,"[""long_continuous_monotonic_ramp""]",9,80.0000000000004,7.46,0.9976381906126263,1.123,0.0,0.0007077920017763972,0.006831124992459081,0.007546749999164604,dataset/0/426638/LeaF - I (Tidek) [Limbo].osu,
true_ramp_pass,True,True,True,True,435387,939950,Various Artists,Wh1teh Pack #1,Wh1teh,DM Ashura - memeMAX,pass,linear_ramp,474,linear_ramp,2833.8253694973023,"[""long_continuous_monotonic_ramp""]",474,472.99999999999864,113.996,0.9534501950093726,0.40740000000000004,0.0,0.0019863750057993457,0.00660891599545721,0.008602292000432499,dataset/0/435387/Various Artists - Wh1teh Pack #1 (Wh1teh) [DM Ashura - memeMAX].osu,
true_ramp_pass,True,True,True,True,494345,1052580,Camellia,Lunatic Rough Party!!,Fullerene-,Inspire,pass,linear_ramp,25,stepped_ramp,723.6496828802926,"[""long_continuous_monotonic_ramp""]",16,340.0,23.911800000000003,0.585375426987214,1.8340399999999994,0.06666666666666667,0.00043000000005122274,0.0007294169918168336,0.0011631250090431422,dataset/0/494345/Camellia - Lunatic Rough Party!! (Fullerene-) [Inspire].osu,
true_ramp_pass,True,True,True,True,527220,1118574,DJ YOSHITAKA,JOMANDA,Fresh Chicken,EXTREME,pass,linear_ramp,22,linear_ramp,584.8097610393655,"[""long_continuous_monotonic_ramp""]",17,210.00000000000006,12.319,0.9391292995984355,0.98,0.0,0.0004857500025536865,0.0006519160087918863,0.0011412500025471672,dataset/0/527220/DJ YOSHITAKA - JOMANDA (Fresh Chicken) [EXTREME].osu,
true_ramp_pass,True,True,True,True,631020,1332080,FELE,Peter on crack,Jole,this isn't rocket science,pass,linear_ramp,33,linear_ramp,105.0346432210434,"[""long_continuous_monotonic_ramp""]",8,121.70000000000003,4.069,0.9170483830856101,0.8444,0.14285714285714285,0.0016016250010579824,0.0013111250009387732,0.0029197089897934347,dataset/0/631020/Fele - Peter on Crack (Jole) [this isn't rocket science].osu,
true_ramp_pass,True,True,True,True,663258,1403911,Mick Gordon,The Mastermind,Pope Gadget,Brainstorm,pass,stepped_ramp,137,stepped_ramp,299.04931722836415,"[""long_continuous_monotonic_ramp""]",11,289.80000000000086,38.105,0.5153710149161161,6.378899999999998,0.5,0.0036694159934995696,0.0028117500041844323,0.0064859589911066,dataset/0/663258/Mick Gordon - The Mastermind (Pope Gadget) [Brainstorm].osu,
true_ramp_pass,True,True,True,True,703004,1487432,Senpi,Touhou Last Boss Rush!!,RuberusuScarlet,Lunatic,pass,stepped_ramp,92,stepped_ramp,152.17379770907638,"[""long_continuous_monotonic_ramp""]",8,94.99999999999974,7.052,0.8498785939575426,2.498400000000002,0.14285714285714285,0.0023792919964762405,0.004362666993984021,0.006746999992174096,dataset/0/703004/Senpi - Touhou Last Boss Rush!! (RuberusuScarlet) [Lunatic].osu,
